Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP2-45,R5.2MAF,Primary Energy|Oil,EJ/yr,19.133,22.395,25.657,29.342,33.027,36.345,39.664,41.917,44.171,45.495,46.818,48.235,49.652,50.469,51.285,52.068,52.851,53.050,53.249
AIM/CGE,SSP3-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,19.359,23.053,26.748,30.358,33.969,37.320,40.671,42.143,43.616,44.200,44.785,45.365,45.945,45.765,45.585,46.053,46.521,47.814,49.107
AIM/CGE,SSP4-34,R5.2MAF,Primary Energy|Oil,EJ/yr,18.665,21.139,23.612,26.362,29.111,30.320,31.528,31.325,31.121,30.141,29.162,28.325,27.489,26.758,26.027,25.417,24.806,24.595,24.385
AIM/CGE,SSP5-34,R5.2MAF,Primary Energy|Oil,EJ/yr,19.040,22.257,25.475,29.466,33.457,38.435,43.413,48.507,53.601,56.806,60.010,61.693,63.376,63.229,63.083,61.100,59.118,51.678,44.239
AIM/CGE,SSP5-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,19.010,22.114,25.218,30.028,34.838,41.599,48.361,53.516,58.672,63.744,68.815,71.875,74.936,75.744,76.551,66.831,57.111,46.206,35.300
GCAM4,SSP1-19,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,22.421,22.260,22.758,23.256,24.680,26.105,27.159,28.214,28.294,28.374,27.846,27.318,26.280,25.242,23.404,21.566,18.647,15.728
GCAM4,SSP1-26,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,22.405,22.227,23.081,23.935,25.681,27.428,29.425,31.423,32.709,33.994,34.012,34.029,33.166,32.304,30.792,29.281,27.116,24.952
GCAM4,SSP2-45,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,23.061,23.539,24.819,26.098,27.148,28.197,31.592,34.986,39.398,43.810,48.564,53.319,57.747,62.175,66.871,71.566,73.966,76.365
GCAM4,SSP3-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,23.230,23.878,24.719,25.560,26.620,27.681,29.402,31.122,33.866,36.609,41.240,45.871,52.185,58.500,65.892,73.284,81.094,88.903
GCAM4,SSP4-34,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,23.016,23.448,24.442,25.435,26.418,27.400,28.238,29.076,29.412,29.748,29.835,29.921,29.534,29.147,28.236,27.325,24.845,22.366
GCAM4,SSP4-60,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,23.016,23.448,24.725,26.002,27.326,28.650,30.342,32.033,34.149,36.266,39.270,42.274,45.552,48.829,51.779,54.729,56.800,58.870
GCAM4,SSP5-34,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,23.312,24.041,26.914,29.786,33.267,36.747,43.510,50.273,56.387,62.500,66.050,69.600,68.656,67.711,60.078,52.445,44.257,36.068
GCAM4,SSP5-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,22.583,23.426,24.270,26.640,29.009,34.378,39.748,47.714,55.679,66.242,76.806,88.759,100.713,111.840,122.968,132.774,142.581,148.107,153.634
IMAGE,SSP1-19,R5.2MAF,Primary Energy|Oil,EJ/yr,20.737,21.520,22.304,18.857,15.410,12.657,9.903,9.068,8.232,7.218,6.203,5.829,5.456,5.332,5.207,5.027,4.846,4.612,4.378
IMAGE,SSP1-26,R5.2MAF,Primary Energy|Oil,EJ/yr,20.737,23.311,25.886,26.753,27.621,27.641,27.660,26.734,25.807,26.110,26.414,26.025,25.636,21.990,18.345,15.092,11.839,10.722,9.605
IMAGE,SSP2-45,R5.2MAF,Primary Energy|Oil,EJ/yr,20.789,23.288,25.787,25.800,25.814,27.278,28.742,29.415,30.088,31.758,33.428,36.366,39.304,40.436,41.568,41.153,40.738,43.529,46.321
IMAGE,SSP3-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,20.815,23.904,26.992,27.898,28.804,31.928,35.052,36.018,36.984,36.677,36.369,36.823,37.278,39.603,41.929,44.874,47.819,50.969,54.119
IMAGE,SSP4-34,R5.2MAF,Primary Energy|Oil,EJ/yr,20.803,23.719,26.635,28.130,29.624,29.804,29.984,29.857,29.730,29.152,28.575,27.406,26.237,24.174,22.112,20.055,17.998,17.484,16.971
IMAGE,SSP4-60,R5.2MAF,Primary Energy|Oil,EJ/yr,20.827,24.169,27.511,30.669,33.828,35.967,38.107,39.232,40.357,40.715,41.073,41.450,41.827,42.654,43.482,45.128,46.773,48.832,50.891
IMAGE,SSP5-34,R5.2MAF,Primary Energy|Oil,EJ/yr,21.137,24.348,27.559,30.876,34.193,37.260,40.326,40.673,41.019,39.143,37.268,34.120,30.972,30.051,29.129,27.141,25.152,23.089,21.026
IMAGE,SSP5-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,21.166,25.081,28.995,33.841,38.687,43.975,49.262,54.290,59.317,65.776,72.234,80.490,88.746,93.463,98.181,97.822,97.463,92.992,88.521
MESSAGE-GLOBIOM,SSP1-19,R5.2MAF,Primary Energy|Oil,EJ/yr,21.706,25.606,29.506,28.677,27.848,24.120,20.391,14.181,7.971,4.574,1.177,0.681,0.185,0.093,0.000,0.000,0.000,0.000,0.000
MESSAGE-GLOBIOM,SSP1-26,R5.2MAF,Primary Energy|Oil,EJ/yr,21.694,25.568,29.443,29.400,29.358,28.261,27.165,22.360,17.556,13.879,10.203,8.532,6.861,5.873,4.886,2.957,1.029,0.588,0.148
MESSAGE-GLOBIOM,SSP2-45,R5.2MAF,Primary Energy|Oil,EJ/yr,21.969,24.657,27.346,28.685,30.024,30.984,31.943,32.001,32.058,32.763,33.468,31.479,29.491,29.433,29.374,30.606,31.837,30.862,29.887
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,21.781,25.314,28.847,32.120,35.393,36.659,37.926,38.541,39.156,43.333,47.511,47.203,46.895,35.585,24.276,16.703,9.131,8.411,7.691
REMIND-MAGPIE,SSP1-19,R5.2MAF,Primary Energy|Oil,EJ/yr,22.224,27.475,32.725,32.750,32.774,32.215,31.656,27.666,23.676,17.434,11.191,7.615,4.039,2.856,1.673,1.352,1.031,0.991,0.951
REMIND-MAGPIE,SSP1-26,R5.2MAF,Primary Energy|Oil,EJ/yr,22.224,27.475,32.725,34.595,36.464,38.282,40.100,39.435,38.770,33.550,28.330,23.492,18.653,13.804,8.955,5.653,2.350,1.920,1.490
REMIND-MAGPIE,SSP2-45,R5.2MAF,Primary Energy|Oil,EJ/yr,23.375,32.037,40.699,42.339,43.978,44.884,45.790,46.765,47.740,46.130,44.520,43.940,43.360,43.485,43.610,41.435,39.260,41.215,43.170
REMIND-MAGPIE,SSP5-34,R5.2MAF,Primary Energy|Oil,EJ/yr,23.333,33.140,42.947,46.424,49.900,54.635,59.370,63.160,66.950,60.475,54.000,46.995,39.990,33.507,27.024,20.186,13.348,10.988,8.628
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,Primary Energy|Oil,EJ/yr,23.333,32.648,41.962,45.501,49.040,53.600,58.160,63.695,69.230,67.730,66.230,63.230,60.230,57.670,55.110,47.675,40.240,32.390,24.540
WITCH-GLOBIOM,SSP1-19,R5.2MAF,Primary Energy|Oil,EJ/yr,23.277,24.628,25.979,19.040,12.100,12.714,13.328,11.712,10.097,8.134,6.170,5.315,4.460,3.886,3.312,2.030,0.748,0.575,0.402
